,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
71,Blow,Yves V,165000,0,spotify:track:4nX11Rjdh7AuM8Ezb73m1R,0.603,0.902,5,-5.979,0.0494,0.0186,0.6829999999999999,0.105,0.135,127.973,4,1
72,Body Rock,Bingo Players,158212,46,spotify:track:3wcaYUOKVSEbmmGB43YGqf,0.627,0.944,5,-4.459,0.344,0.00919,0.00311,0.444,0.551,126.078,4,1
73,Boiler,Limp Bizkit,420266,0,spotify:track:5UaOg4eymp98fxKyx6SHmB,0.443,0.722,6,-6.3260000000000005,0.0865,0.00393,0.0155,0.0373,0.1669999999999999,111.324,4,2
74,Bortom Träden,Erik Reno,260564,48,spotify:track:4CFlaEtdgeu4mFmnUApAyl,0.446,0.0586,8,-26.416,0.0416,0.8009999999999999,0.85,0.0876,0.111,124.019,4,3
75,Bottom Of The Sea,Isaac Elton,242213,48,spotify:track:5OTdNMpl1EPr3tOLyyRIc3,0.775,0.66,0,-7.9289999999999985,0.0444,0.0068099999999999,0.171,0.22,0.425,126.022,4,1
76,Bottom of a Bottle,Smile Empty Soul,221826,61,spotify:track:1XZrMIHtCVJPqK29Mzm44G,0.537,0.847,6,-5.207999999999998,0.0383,0.00236,1.16e-06,0.0844,0.459,106.055,4,2
77,Bouquet with Lilies,La Acacia,216607,56,spotify:track:1j45uvYWACNGDZ0jmKSTuP,0.621,0.345,0,-12.106,0.0295,0.716,0.921,0.091,0.113,117.683,4,3
78,Break Stuff,Limp Bizkit,166706,0,spotify:track:1rJ1xX2XBC8nesYapeO6Av,0.45,0.877,8,-6.676,0.156,0.0108,0.000643,0.112,0.6629999999999999,108.501,4,2
79,Breathe,Hans Voller,166194,29,spotify:track:5q2hzGmdBeXEWuMOlOMOt2,0.612,0.037,11,-18.855,0.0408,0.99,0.947,0.108,0.103,113.008,3,3
80,Breathe Me,Sia,272800,68,spotify:track:7jqzZyJJLrpkRFYGpkqSK6,0.552,0.643,0,-7.36,0.0327,0.0364,0.74,0.105,0.212,120.012,4,0
81,Brimful of Asha - Norman Cook Remix,Fatboy Slim,238933,0,spotify:track:5BegkNkGXa6TUobnxy5LFL,0.6629999999999999,0.957,11,-2.823,0.0584,0.18,0.0,0.348,0.937,125.678,4,1
82,Bruises,Lewis Capaldi,220492,84,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,4,-7.83,0.0677,0.946,0.0,0.186,0.361,111.202,4,0
83,Butterfly,Crazy Town,216733,71,spotify:track:4BggEwLhGfrbrl7JBhC8EC,0.736,0.8109999999999999,9,-4.17,0.081,0.00132,0.0001419999999999,0.107,0.609,103.502,4,1
84,Bye Bye Little House,Ella van der Woude,202405,30,spotify:track:7AQKjpzLGVBKvTDyoJ7YVK,0.31,0.0313,10,-23.55,0.0325,0.985,0.94,0.263,0.182,92.857,4,3
85,California Dreamin',The Mamas & The Papas,157960,50,spotify:track:63rva3TBizr6x1Yp5uwKfD,0.5539999999999999,0.667,1,-10.226,0.0342,0.628,0.0,0.0486,0.597,112.749,4,1
86,Calm Wilderness,Night Sounds,231723,52,spotify:track:44Co96UhNfnq258r2VybLE,0.186,0.271,7,-17.149,0.0449,0.8859999999999999,0.961,0.141,0.0684,115.896,4,3
87,Car Underwater,Armor For Sleep,228706,52,spotify:track:4CilIy3dA3P9Tq2NFqKEOX,0.435,0.774,2,-5.052,0.0631,0.014,0.0,0.127,0.448,147.466,4,2
88,Chariot,Beach House,316507,42,spotify:track:6dB3Uad2TOaJcGKpM3zizO,0.374,0.426,10,-7.395,0.0315,0.6629999999999999,0.607,0.0886,0.0902,102.174,4,0
89,Children Of Today,Blasterjaxx,169384,58,spotify:track:2106G7MY2XnVyqij2bJVGH,0.507,0.836,6,-4.357,0.038,0.00892,0.000598,0.485,0.333,130.02700000000002,4,2
